Year,GEO,Age.group,Sex,Income.source,VALUE
2007,NL,35-44 yrs,Both sexes,Total income,32800
2008,NL,35-44 yrs,Both sexes,Total income,37100
2009,NL,35-44 yrs,Both sexes,Total income,37900
2010,NL,35-44 yrs,Both sexes,Total income,39000
2011,NL,35-44 yrs,Both sexes,Total income,41100
2012,NL,35-44 yrs,Both sexes,Total income,42900
2013,NL,35-44 yrs,Both sexes,Total income,43600
2014,NL,35-44 yrs,Both sexes,Total income,49900
2015,NL,35-44 yrs,Both sexes,Total income,49500
2016,NL,35-44 yrs,Both sexes,Total income,44300
2017,NL,35-44 yrs,Both sexes,Total income,46100
2018,NL,35-44 yrs,Both sexes,Total income,52900
1976,NL,35-44 yrs,Both sexes,Market income,36000
1977,NL,35-44 yrs,Both sexes,Market income,39500
1978,NL,35-44 yrs,Both sexes,Market income,37900
1979,NL,35-44 yrs,Both sexes,Market income,30000
1980,NL,35-44 yrs,Both sexes,Market income,38300
1981,NL,35-44 yrs,Both sexes,Market income,33800
1982,NL,35-44 yrs,Both sexes,Market income,37800
1983,NL,35-44 yrs,Both sexes,Market income,32500
1984,NL,35-44 yrs,Both sexes,Market income,30200
1985,NL,35-44 yrs,Both sexes,Market income,31900
1986,NL,35-44 yrs,Both sexes,Market income,26000
1987,NL,35-44 yrs,Both sexes,Market income,30100
1988,NL,35-44 yrs,Both sexes,Market income,33000
1989,NL,35-44 yrs,Both sexes,Market income,30800
1990,NL,35-44 yrs,Both sexes,Market income,25500
1991,NL,35-44 yrs,Both sexes,Market income,27500
1992,NL,35-44 yrs,Both sexes,Market income,26000
1993,NL,35-44 yrs,Both sexes,Market income,26500
1994,NL,35-44 yrs,Both sexes,Market income,28800
1995,NL,35-44 yrs,Both sexes,Market income,28400
1996,NL,35-44 yrs,Both sexes,Market income,29300
1997,NL,35-44 yrs,Both sexes,Market income,30100
1998,NL,35-44 yrs,Both sexes,Market income,29400
1999,NL,35-44 yrs,Both sexes,Market income,31600
2000,NL,35-44 yrs,Both sexes,Market income,31700
2001,NL,35-44 yrs,Both sexes,Market income,26600
2002,NL,35-44 yrs,Both sexes,Market income,27700
2003,NL,35-44 yrs,Both sexes,Market income,30000
2004,NL,35-44 yrs,Both sexes,Market income,32600
2005,NL,35-44 yrs,Both sexes,Market income,31200
2006,NL,35-44 yrs,Both sexes,Market income,29300
2007,NL,35-44 yrs,Both sexes,Market income,30700
2008,NL,35-44 yrs,Both sexes,Market income,36100
2009,NL,35-44 yrs,Both sexes,Market income,35500
2010,NL,35-44 yrs,Both sexes,Market income,38000
2011,NL,35-44 yrs,Both sexes,Market income,44500
2012,NL,35-44 yrs,Both sexes,Market income,46700
2013,NL,35-44 yrs,Both sexes,Market income,41100
2014,NL,35-44 yrs,Both sexes,Market income,50100
2015,NL,35-44 yrs,Both sexes,Market income,49400
2016,NL,35-44 yrs,Both sexes,Market income,45800
2017,NL,35-44 yrs,Both sexes,Market income,44200
2018,NL,35-44 yrs,Both sexes,Market income,53900
1976,NL,35-44 yrs,Both sexes,Employment income,36000
1977,NL,35-44 yrs,Both sexes,Employment income,39000
1978,NL,35-44 yrs,Both sexes,Employment income,37400
1979,NL,35-44 yrs,Both sexes,Employment income,30700
1980,NL,35-44 yrs,Both sexes,Employment income,39300
1981,NL,35-44 yrs,Both sexes,Employment income,34400
1982,NL,35-44 yrs,Both sexes,Employment income,37800
1983,NL,35-44 yrs,Both sexes,Employment income,32100
1984,NL,35-44 yrs,Both sexes,Employment income,30400
1985,NL,35-44 yrs,Both sexes,Employment income,33000
1986,NL,35-44 yrs,Both sexes,Employment income,26100
1987,NL,35-44 yrs,Both sexes,Employment income,29400
1988,NL,35-44 yrs,Both sexes,Employment income,32600
1989,NL,35-44 yrs,Both sexes,Employment income,30700
1990,NL,35-44 yrs,Both sexes,Employment income,25800
1991,NL,35-44 yrs,Both sexes,Employment income,27600
1992,NL,35-44 yrs,Both sexes,Employment income,26200
1993,NL,35-44 yrs,Both sexes,Employment income,26500
1994,NL,35-44 yrs,Both sexes,Employment income,29900
1995,NL,35-44 yrs,Both sexes,Employment income,29200
1996,NL,35-44 yrs,Both sexes,Employment income,30000
1997,NL,35-44 yrs,Both sexes,Employment income,30600
1998,NL,35-44 yrs,Both sexes,Employment income,28300
1999,NL,35-44 yrs,Both sexes,Employment income,32500
2000,NL,35-44 yrs,Both sexes,Employment income,33600
2001,NL,35-44 yrs,Both sexes,Employment income,28400
2002,NL,35-44 yrs,Both sexes,Employment income,28600
2003,NL,35-44 yrs,Both sexes,Employment income,30100
2004,NL,35-44 yrs,Both sexes,Employment income,33200
2005,NL,35-44 yrs,Both sexes,Employment income,32700
2006,NL,35-44 yrs,Both sexes,Employment income,31300
2007,NL,35-44 yrs,Both sexes,Employment income,31100
2008,NL,35-44 yrs,Both sexes,Employment income,36500
2009,NL,35-44 yrs,Both sexes,Employment income,37300
2010,NL,35-44 yrs,Both sexes,Employment income,39000
2011,NL,35-44 yrs,Both sexes,Employment income,45100
2012,NL,35-44 yrs,Both sexes,Employment income,47300
2013,NL,35-44 yrs,Both sexes,Employment income,41100
2014,NL,35-44 yrs,Both sexes,Employment income,49600
2015,NL,35-44 yrs,Both sexes,Employment income,49400
2016,NL,35-44 yrs,Both sexes,Employment income,45500
2017,NL,35-44 yrs,Both sexes,Employment income,45600
2018,NL,35-44 yrs,Both sexes,Employment income,53700
1976,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",36000
1977,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",39500
1978,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",40400
1979,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",32200
1980,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",43600
1981,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",35400
1982,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",39400
1983,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",34400
1984,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",30600
1985,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",33900
1986,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",29800
1987,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",30800
1988,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",34000
1989,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",30900
1990,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",28900
1991,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",30400
1992,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",28000
1993,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",26800
1994,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",32000
1995,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",29200
1996,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",31800
1997,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",32300
1998,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",29400
1999,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",33100
2000,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",33600
2001,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",30600
2002,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",30100
2003,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",32700
2004,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",34400
2005,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",34100
2006,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",34400
2007,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",32600
2008,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",37000
2009,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",37500
2010,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",41000
2011,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",46800
2012,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",48000
2013,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",41700
2014,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",51000
2015,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",49500
2016,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",46900
2017,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",47700
2018,NL,35-44 yrs,Both sexes,"Wages, salaries and commissions",54200
1976,NL,35-44 yrs,Both sexes,Self-employment income,
1977,NL,35-44 yrs,Both sexes,Self-employment income,7900
1978,NL,35-44 yrs,Both sexes,Self-employment income,
1979,NL,35-44 yrs,Both sexes,Self-employment income,11000
1980,NL,35-44 yrs,Both sexes,Self-employment income,8100
1981,NL,35-44 yrs,Both sexes,Self-employment income,11700
1982,NL,35-44 yrs,Both sexes,Self-employment income,11800
1983,NL,35-44 yrs,Both sexes,Self-employment income,
1984,NL,35-44 yrs,Both sexes,Self-employment income,12100
1985,NL,35-44 yrs,Both sexes,Self-employment income,13100
1986,NL,35-44 yrs,Both sexes,Self-employment income,10300
1987,NL,35-44 yrs,Both sexes,Self-employment income,14500
1988,NL,35-44 yrs,Both sexes,Self-employment income,10300
1989,NL,35-44 yrs,Both sexes,Self-employment income,14300
1990,NL,35-44 yrs,Both sexes,Self-employment income,11900
1991,NL,35-44 yrs,Both sexes,Self-employment income,6400
1992,NL,35-44 yrs,Both sexes,Self-employment income,12500
1993,NL,35-44 yrs,Both sexes,Self-employment income,15500
1994,NL,35-44 yrs,Both sexes,Self-employment income,15500
1995,NL,35-44 yrs,Both sexes,Self-employment income,14200
1996,NL,35-44 yrs,Both sexes,Self-employment income,12800
1997,NL,35-44 yrs,Both sexes,Self-employment income,16200
1998,NL,35-44 yrs,Both sexes,Self-employment income,9200
1999,NL,35-44 yrs,Both sexes,Self-employment income,13200
2000,NL,35-44 yrs,Both sexes,Self-employment income,13100
2001,NL,35-44 yrs,Both sexes,Self-employment income,9300
2002,NL,35-44 yrs,Both sexes,Self-employment income,6800
2003,NL,35-44 yrs,Both sexes,Self-employment income,8900
2004,NL,35-44 yrs,Both sexes,Self-employment income,11600
2005,NL,35-44 yrs,Both sexes,Self-employment income,
2006,NL,35-44 yrs,Both sexes,Self-employment income,8600
2007,NL,35-44 yrs,Both sexes,Self-employment income,8300
2008,NL,35-44 yrs,Both sexes,Self-employment income,8800
2009,NL,35-44 yrs,Both sexes,Self-employment income,
2010,NL,35-44 yrs,Both sexes,Self-employment income,
2011,NL,35-44 yrs,Both sexes,Self-employment income,
2012,NL,35-44 yrs,Both sexes,Self-employment income,
2013,NL,35-44 yrs,Both sexes,Self-employment income,
2014,NL,35-44 yrs,Both sexes,Self-employment income,
2015,NL,35-44 yrs,Both sexes,Self-employment income,
2016,NL,35-44 yrs,Both sexes,Self-employment income,
2017,NL,35-44 yrs,Both sexes,Self-employment income,
2018,NL,35-44 yrs,Both sexes,Self-employment income,
1976,NL,35-44 yrs,Both sexes,Government transfers,4500
1977,NL,35-44 yrs,Both sexes,Government transfers,4600
1978,NL,35-44 yrs,Both sexes,Government transfers,5400
1979,NL,35-44 yrs,Both sexes,Government transfers,3300
1980,NL,35-44 yrs,Both sexes,Government transfers,3400
1981,NL,35-44 yrs,Both sexes,Government transfers,3100
1982,NL,35-44 yrs,Both sexes,Government transfers,3800
1983,NL,35-44 yrs,Both sexes,Government transfers,3200
1984,NL,35-44 yrs,Both sexes,Government transfers,4800
1985,NL,35-44 yrs,Both sexes,Government transfers,4800
1986,NL,35-44 yrs,Both sexes,Government transfers,5100
1987,NL,35-44 yrs,Both sexes,Government transfers,4600
1988,NL,35-44 yrs,Both sexes,Government transfers,4900
1989,NL,35-44 yrs,Both sexes,Government transfers,4600
1990,NL,35-44 yrs,Both sexes,Government transfers,5000
1991,NL,35-44 yrs,Both sexes,Government transfers,5200
1992,NL,35-44 yrs,Both sexes,Government transfers,6500
1993,NL,35-44 yrs,Both sexes,Government transfers,7600
1994,NL,35-44 yrs,Both sexes,Government transfers,5200
1995,NL,35-44 yrs,Both sexes,Government transfers,6500
1996,NL,35-44 yrs,Both sexes,Government transfers,5200
1997,NL,35-44 yrs,Both sexes,Government transfers,4500
1998,NL,35-44 yrs,Both sexes,Government transfers,4700
1999,NL,35-44 yrs,Both sexes,Government transfers,6500
2000,NL,35-44 yrs,Both sexes,Government transfers,5900
2001,NL,35-44 yrs,Both sexes,Government transfers,7500
2002,NL,35-44 yrs,Both sexes,Government transfers,7500
2003,NL,35-44 yrs,Both sexes,Government transfers,7300
2004,NL,35-44 yrs,Both sexes,Government transfers,6800
2005,NL,35-44 yrs,Both sexes,Government transfers,6600
2006,NL,35-44 yrs,Both sexes,Government transfers,5600
2007,NL,35-44 yrs,Both sexes,Government transfers,5800
2008,NL,35-44 yrs,Both sexes,Government transfers,5100
2009,NL,35-44 yrs,Both sexes,Government transfers,5700
2010,NL,35-44 yrs,Both sexes,Government transfers,5800
2011,NL,35-44 yrs,Both sexes,Government transfers,6100
2012,NL,35-44 yrs,Both sexes,Government transfers,6000
2013,NL,35-44 yrs,Both sexes,Government transfers,5900
2014,NL,35-44 yrs,Both sexes,Government transfers,5300
2015,NL,35-44 yrs,Both sexes,Government transfers,4000
2016,NL,35-44 yrs,Both sexes,Government transfers,5300
2017,NL,35-44 yrs,Both sexes,Government transfers,7300
2018,NL,35-44 yrs,Both sexes,Government transfers,5100
1976,NL,35-44 yrs,Males,Total income,51000
1977,NL,35-44 yrs,Males,Total income,54700
1978,NL,35-44 yrs,Males,Total income,55300
1979,NL,35-44 yrs,Males,Total income,47500
1980,NL,35-44 yrs,Males,Total income,54900
1981,NL,35-44 yrs,Males,Total income,50100
1982,NL,35-44 yrs,Males,Total income,52200
1983,NL,35-44 yrs,Males,Total income,47500
1984,NL,35-44 yrs,Males,Total income,43800
1985,NL,35-44 yrs,Males,Total income,45900
1986,NL,35-44 yrs,Males,Total income,40300
1987,NL,35-44 yrs,Males,Total income,48000
1988,NL,35-44 yrs,Males,Total income,46200
1989,NL,35-44 yrs,Males,Total income,46400
1990,NL,35-44 yrs,Males,Total income,43000
1991,NL,35-44 yrs,Males,Total income,41400
1992,NL,35-44 yrs,Males,Total income,41300
1993,NL,35-44 yrs,Males,Total income,40200
1994,NL,35-44 yrs,Males,Total income,40300
1995,NL,35-44 yrs,Males,Total income,37200
1996,NL,35-44 yrs,Males,Total income,37600
1997,NL,35-44 yrs,Males,Total income,37600
1998,NL,35-44 yrs,Males,Total income,40000
1999,NL,35-44 yrs,Males,Total income,40300
2000,NL,35-44 yrs,Males,Total income,39400
2001,NL,35-44 yrs,Males,Total income,40100
2002,NL,35-44 yrs,Males,Total income,42300
2003,NL,35-44 yrs,Males,Total income,42800
2004,NL,35-44 yrs,Males,Total income,44200
2005,NL,35-44 yrs,Males,Total income,39900
2006,NL,35-44 yrs,Males,Total income,40600
2007,NL,35-44 yrs,Males,Total income,38800
2008,NL,35-44 yrs,Males,Total income,43900
2009,NL,35-44 yrs,Males,Total income,41600
2010,NL,35-44 yrs,Males,Total income,46200
2011,NL,35-44 yrs,Males,Total income,48200
2012,NL,35-44 yrs,Males,Total income,48300
2013,NL,35-44 yrs,Males,Total income,66100
2014,NL,35-44 yrs,Males,Total income,67600
2015,NL,35-44 yrs,Males,Total income,60300
2016,NL,35-44 yrs,Males,Total income,55900
2017,NL,35-44 yrs,Males,Total income,51000
2018,NL,35-44 yrs,Males,Total income,63100
1976,NL,35-44 yrs,Males,Market income,45500
1977,NL,35-44 yrs,Males,Market income,50900
1978,NL,35-44 yrs,Males,Market income,50100
1979,NL,35-44 yrs,Males,Market income,45900
1980,NL,35-44 yrs,Males,Market income,54600
1981,NL,35-44 yrs,Males,Market income,45800
1982,NL,35-44 yrs,Males,Market income,49100
1983,NL,35-44 yrs,Males,Market income,42200
1984,NL,35-44 yrs,Males,Market income,40600
1985,NL,35-44 yrs,Males,Market income,42400
1986,NL,35-44 yrs,Males,Market income,36200
1987,NL,35-44 yrs,Males,Market income,44800
1988,NL,35-44 yrs,Males,Market income,42300
1989,NL,35-44 yrs,Males,Market income,42000
1990,NL,35-44 yrs,Males,Market income,37700
1991,NL,35-44 yrs,Males,Market income,36900
1992,NL,35-44 yrs,Males,Market income,39400
1993,NL,35-44 yrs,Males,Market income,36900
1994,NL,35-44 yrs,Males,Market income,37800
1995,NL,35-44 yrs,Males,Market income,37500
1996,NL,35-44 yrs,Males,Market income,35500
1997,NL,35-44 yrs,Males,Market income,36900
1998,NL,35-44 yrs,Males,Market income,34700
1999,NL,35-44 yrs,Males,Market income,39500
2000,NL,35-44 yrs,Males,Market income,36900
2001,NL,35-44 yrs,Males,Market income,37600
2002,NL,35-44 yrs,Males,Market income,35200
2003,NL,35-44 yrs,Males,Market income,36700
2004,NL,35-44 yrs,Males,Market income,37500
2005,NL,35-44 yrs,Males,Market income,38600
2006,NL,35-44 yrs,Males,Market income,37400
2007,NL,35-44 yrs,Males,Market income,34900
2008,NL,35-44 yrs,Males,Market income,42900
2009,NL,35-44 yrs,Males,Market income,40000
2010,NL,35-44 yrs,Males,Market income,44900
2011,NL,35-44 yrs,Males,Market income,47200
2012,NL,35-44 yrs,Males,Market income,52300
2013,NL,35-44 yrs,Males,Market income,69500
2014,NL,35-44 yrs,Males,Market income,74800
2015,NL,35-44 yrs,Males,Market income,58500
2016,NL,35-44 yrs,Males,Market income,55600
2017,NL,35-44 yrs,Males,Market income,51100
2018,NL,35-44 yrs,Males,Market income,63200
1976,NL,35-44 yrs,Males,Employment income,45200
1977,NL,35-44 yrs,Males,Employment income,51100
1978,NL,35-44 yrs,Males,Employment income,49200
1979,NL,35-44 yrs,Males,Employment income,45600
1980,NL,35-44 yrs,Males,Employment income,54600
1981,NL,35-44 yrs,Males,Employment income,45600
1982,NL,35-44 yrs,Males,Employment income,48600
1983,NL,35-44 yrs,Males,Employment income,42200
1984,NL,35-44 yrs,Males,Employment income,40200
1985,NL,35-44 yrs,Males,Employment income,42300
1986,NL,35-44 yrs,Males,Employment income,36200
1987,NL,35-44 yrs,Males,Employment income,44500
1988,NL,35-44 yrs,Males,Employment income,43000
1989,NL,35-44 yrs,Males,Employment income,41000
1990,NL,35-44 yrs,Males,Employment income,38200
1991,NL,35-44 yrs,Males,Employment income,38000
1992,NL,35-44 yrs,Males,Employment income,38800
1993,NL,35-44 yrs,Males,Employment income,36400
1994,NL,35-44 yrs,Males,Employment income,38100
1995,NL,35-44 yrs,Males,Employment income,39200
1996,NL,35-44 yrs,Males,Employment income,35600
1997,NL,35-44 yrs,Males,Employment income,36900
1998,NL,35-44 yrs,Males,Employment income,34500
1999,NL,35-44 yrs,Males,Employment income,40300
2000,NL,35-44 yrs,Males,Employment income,37900
2001,NL,35-44 yrs,Males,Employment income,37400
2002,NL,35-44 yrs,Males,Employment income,35200
2003,NL,35-44 yrs,Males,Employment income,36700
2004,NL,35-44 yrs,Males,Employment income,36600
2005,NL,35-44 yrs,Males,Employment income,38600
2006,NL,35-44 yrs,Males,Employment income,37900
2007,NL,35-44 yrs,Males,Employment income,34700
2008,NL,35-44 yrs,Males,Employment income,42400
2009,NL,35-44 yrs,Males,Employment income,39700
2010,NL,35-44 yrs,Males,Employment income,44900
2011,NL,35-44 yrs,Males,Employment income,47200
2012,NL,35-44 yrs,Males,Employment income,52300
2013,NL,35-44 yrs,Males,Employment income,69200
2014,NL,35-44 yrs,Males,Employment income,74400
2015,NL,35-44 yrs,Males,Employment income,60400
2016,NL,35-44 yrs,Males,Employment income,55200
2017,NL,35-44 yrs,Males,Employment income,51100
2018,NL,35-44 yrs,Males,Employment income,63000
1976,NL,35-44 yrs,Males,"Wages, salaries and commissions",45500
1977,NL,35-44 yrs,Males,"Wages, salaries and commissions",51100
1978,NL,35-44 yrs,Males,"Wages, salaries and commissions",51000
1979,NL,35-44 yrs,Males,"Wages, salaries and commissions",46300
1980,NL,35-44 yrs,Males,"Wages, salaries and commissions",55100
1981,NL,35-44 yrs,Males,"Wages, salaries and commissions",47200
1982,NL,35-44 yrs,Males,"Wages, salaries and commissions",51000
1983,NL,35-44 yrs,Males,"Wages, salaries and commissions",43000
1984,NL,35-44 yrs,Males,"Wages, salaries and commissions",40200
1985,NL,35-44 yrs,Males,"Wages, salaries and commissions",42500
1986,NL,35-44 yrs,Males,"Wages, salaries and commissions",38600
1987,NL,35-44 yrs,Males,"Wages, salaries and commissions",45100
1988,NL,35-44 yrs,Males,"Wages, salaries and commissions",45000
1989,NL,35-44 yrs,Males,"Wages, salaries and commissions",43200
1990,NL,35-44 yrs,Males,"Wages, salaries and commissions",42500
1991,NL,35-44 yrs,Males,"Wages, salaries and commissions",43500
1992,NL,35-44 yrs,Males,"Wages, salaries and commissions",41300
1993,NL,35-44 yrs,Males,"Wages, salaries and commissions",38100
1994,NL,35-44 yrs,Males,"Wages, salaries and commissions",41300
1995,NL,35-44 yrs,Males,"Wages, salaries and commissions",41100
1996,NL,35-44 yrs,Males,"Wages, salaries and commissions",39100
1997,NL,35-44 yrs,Males,"Wages, salaries and commissions",38800
1998,NL,35-44 yrs,Males,"Wages, salaries and commissions",37300
1999,NL,35-44 yrs,Males,"Wages, salaries and commissions",41300
2000,NL,35-44 yrs,Males,"Wages, salaries and commissions",39100
2001,NL,35-44 yrs,Males,"Wages, salaries and commissions",38600
2002,NL,35-44 yrs,Males,"Wages, salaries and commissions",38700
2003,NL,35-44 yrs,Males,"Wages, salaries and commissions",40400
2004,NL,35-44 yrs,Males,"Wages, salaries and commissions",39400
2005,NL,35-44 yrs,Males,"Wages, salaries and commissions",39400
2006,NL,35-44 yrs,Males,"Wages, salaries and commissions",43100
2007,NL,35-44 yrs,Males,"Wages, salaries and commissions",38800
2008,NL,35-44 yrs,Males,"Wages, salaries and commissions",43400
2009,NL,35-44 yrs,Males,"Wages, salaries and commissions",40900
2010,NL,35-44 yrs,Males,"Wages, salaries and commissions",47100
2011,NL,35-44 yrs,Males,"Wages, salaries and commissions",50000
2012,NL,35-44 yrs,Males,"Wages, salaries and commissions",52300
2013,NL,35-44 yrs,Males,"Wages, salaries and commissions",69400
2014,NL,35-44 yrs,Males,"Wages, salaries and commissions",74400
2015,NL,35-44 yrs,Males,"Wages, salaries and commissions",62900
2016,NL,35-44 yrs,Males,"Wages, salaries and commissions",55900
2017,NL,35-44 yrs,Males,"Wages, salaries and commissions",52200
2018,NL,35-44 yrs,Males,"Wages, salaries and commissions",62700
1976,NL,35-44 yrs,Males,Self-employment income,
1977,NL,35-44 yrs,Males,Self-employment income,7900
1978,NL,35-44 yrs,Males,Self-employment income,
1979,NL,35-44 yrs,Males,Self-employment income,13000
1980,NL,35-44 yrs,Males,Self-employment income,12100
1981,NL,35-44 yrs,Males,Self-employment income,13200
1982,NL,35-44 yrs,Males,Self-employment income,11800
1983,NL,35-44 yrs,Males,Self-employment income,
1984,NL,35-44 yrs,Males,Self-employment income,13500
1985,NL,35-44 yrs,Males,Self-employment income,17500
1986,NL,35-44 yrs,Males,Self-employment income,13500
1987,NL,35-44 yrs,Males,Self-employment income,14900
1988,NL,35-44 yrs,Males,Self-employment income,10300
1989,NL,35-44 yrs,Males,Self-employment income,20700
1990,NL,35-44 yrs,Males,Self-employment income,12800
1991,NL,35-44 yrs,Males,Self-employment income,9300
1992,NL,35-44 yrs,Males,Self-employment income,15900
1993,NL,35-44 yrs,Males,Self-employment income,20600
1994,NL,35-44 yrs,Males,Self-employment income,16000
1995,NL,35-44 yrs,Males,Self-employment income,17900
1996,NL,35-44 yrs,Males,Self-employment income,18000
1997,NL,35-44 yrs,Males,Self-employment income,17700
1998,NL,35-44 yrs,Males,Self-employment income,
1999,NL,35-44 yrs,Males,Self-employment income,15600
2000,NL,35-44 yrs,Males,Self-employment income,14000
2001,NL,35-44 yrs,Males,Self-employment income,
2002,NL,35-44 yrs,Males,Self-employment income,
2003,NL,35-44 yrs,Males,Self-employment income,
2004,NL,35-44 yrs,Males,Self-employment income,11900
2005,NL,35-44 yrs,Males,Self-employment income,
2006,NL,35-44 yrs,Males,Self-employment income,11300
2007,NL,35-44 yrs,Males,Self-employment income,10400
2008,NL,35-44 yrs,Males,Self-employment income,
2009,NL,35-44 yrs,Males,Self-employment income,
2010,NL,35-44 yrs,Males,Self-employment income,
2011,NL,35-44 yrs,Males,Self-employment income,
2012,NL,35-44 yrs,Males,Self-employment income,
2013,NL,35-44 yrs,Males,Self-employment income,
2014,NL,35-44 yrs,Males,Self-employment income,
2015,NL,35-44 yrs,Males,Self-employment income,
2016,NL,35-44 yrs,Males,Self-employment income,
2017,NL,35-44 yrs,Males,Self-employment income,
2018,NL,35-44 yrs,Males,Self-employment income,
1976,NL,35-44 yrs,Males,Government transfers,4500
1977,NL,35-44 yrs,Males,Government transfers,4500
1978,NL,35-44 yrs,Males,Government transfers,5500
1979,NL,35-44 yrs,Males,Government transfers,3200
1980,NL,35-44 yrs,Males,Government transfers,4200
1981,NL,35-44 yrs,Males,Government transfers,3700
1982,NL,35-44 yrs,Males,Government transfers,4200
1983,NL,35-44 yrs,Males,Government transfers,4700
1984,NL,35-44 yrs,Males,Government transfers,5600
1985,NL,35-44 yrs,Males,Government transfers,5300
1986,NL,35-44 yrs,Males,Government transfers,6400
1987,NL,35-44 yrs,Males,Government transfers,4400
1988,NL,35-44 yrs,Males,Government transfers,4900
1989,NL,35-44 yrs,Males,Government transfers,4600
1990,NL,35-44 yrs,Males,Government transfers,5200
1991,NL,35-44 yrs,Males,Government transfers,6000
1992,NL,35-44 yrs,Males,Government transfers,6700
1993,NL,35-44 yrs,Males,Government transfers,12300
1994,NL,35-44 yrs,Males,Government transfers,8200
1995,NL,35-44 yrs,Males,Government transfers,11800
1996,NL,35-44 yrs,Males,Government transfers,9400
1997,NL,35-44 yrs,Males,Government transfers,10100
1998,NL,35-44 yrs,Males,Government transfers,9800
1999,NL,35-44 yrs,Males,Government transfers,8000
2000,NL,35-44 yrs,Males,Government transfers,9400
2001,NL,35-44 yrs,Males,Government transfers,10300
2002,NL,35-44 yrs,Males,Government transfers,10200
2003,NL,35-44 yrs,Males,Government transfers,9800
2004,NL,35-44 yrs,Males,Government transfers,9500
2005,NL,35-44 yrs,Males,Government transfers,9800
2006,NL,35-44 yrs,Males,Government transfers,8300
2007,NL,35-44 yrs,Males,Government transfers,9500
2008,NL,35-44 yrs,Males,Government transfers,5800
2009,NL,35-44 yrs,Males,Government transfers,9500
2010,NL,35-44 yrs,Males,Government transfers,9200
2011,NL,35-44 yrs,Males,Government transfers,
2012,NL,35-44 yrs,Males,Government transfers,9100
2013,NL,35-44 yrs,Males,Government transfers,6700
2014,NL,35-44 yrs,Males,Government transfers,7400
2015,NL,35-44 yrs,Males,Government transfers,
2016,NL,35-44 yrs,Males,Government transfers,5000
2017,NL,35-44 yrs,Males,Government transfers,9700
2018,NL,35-44 yrs,Males,Government transfers,6100
1976,NL,35-44 yrs,Females,Total income,17200
1977,NL,35-44 yrs,Females,Total income,19000
1978,NL,35-44 yrs,Females,Total income,23500
1979,NL,35-44 yrs,Females,Total income,18000
1980,NL,35-44 yrs,Females,Total income,23600
1981,NL,35-44 yrs,Females,Total income,20900
1982,NL,35-44 yrs,Females,Total income,23500
1983,NL,35-44 yrs,Females,Total income,21600
1984,NL,35-44 yrs,Females,Total income,23000
1985,NL,35-44 yrs,Females,Total income,19800
1986,NL,35-44 yrs,Females,Total income,19500
1987,NL,35-44 yrs,Females,Total income,22100
1988,NL,35-44 yrs,Females,Total income,24200
1989,NL,35-44 yrs,Females,Total income,25200
1990,NL,35-44 yrs,Females,Total income,21900
1991,NL,35-44 yrs,Females,Total income,21900
1992,NL,35-44 yrs,Females,Total income,22200
1993,NL,35-44 yrs,Females,Total income,23100
